jlpt,kanji,kana
4,,ああ
4,会う,あう
4,青い,あおい
4,赤い,あかい
4,明い,あかるい
4,秋,あき
4,開く,あく
4,開ける,あける
4,上げる,あげる
4,朝,あさ
4,朝御飯,あさごはん
4,,あさって
4,足,あし
4,,あした
4,,あそこ
4,遊ぶ,あそぶ
4,暖かい,あたたかい
4,頭,あたま
4,新しい,あたらしい
4,,あちら
4,暑い,あつい
4,熱い,あつい
4,厚い,あつい
4,後,あと
4,,あなた
4,兄,あに
4,姉,あね
4,,あの
4,,あの
4,,アパート
4,,あびる
4,危ない,あぶない
4,甘い,あまい
4,,あまり
4,雨,あめ
4,洗う,あらう
4,,ある
4,歩く,あるく
4,,あれ
4,,いい
4,,よい
4,,いいえ
4,言う,いう
4,家,いえ
4,行く,いく
4,,いくつ
4,,いくら
4,池,いけ
4,医者,いしゃ
4,,いす
4,忙しい,いそがしい
4,痛い,いたい
4,一,いち
4,一日,いちにち
4,,いちばん
4,,いつ
4,五日,いつか
4,一緒,いっしょ
4,五つ,いつつ
4,,いつも
4,今,いま
4,意味,いみ
4,妹,いもうと
4,嫌,いや
4,入口,いりぐち
4,居る,いる
4,要る,いる
4,入れる,いれる
4,色,いろ
4,,いろいろ
4,上,うえ
4,薄い,うすい
4,歌,うた
4,歌う,うたう
4,,うち
4,生まれる,うまれる
4,海,うみ
4,売る,うる
4,上着,うわぎ
4,絵,え
4,映画,えいが
4,映画館,えいがかん
4,英語,えいご
4,,ええ
4,駅,えき
4,,エレベーター
4,円,えん
4,鉛筆,えんぴつ
4,,おいしい
4,大きい,おおきい
4,大勢,おおぜい
4,お母さん,おかあさん
4,お菓子,おかし
4,お金,おかね
4,起きる,おきる
4,置く,おく
4,奥さん,おくさん
4,お酒,おさけ
4,お皿,おさら
4,伯父,おじ
4,叔父,おじ
4,,おじいさん
4,教える,おしえる
4,押す,おす
4,遅い,おそい
4,お茶,おちゃ
4,お手洗い,おてあらい
4,お父さん,おとうさん
4,弟,おとうと
4,男,おとこ
4,男の子,おとこのこ
4,,おととい
4,,おととし
4,大人,おとな
4,,おなか
4,同じ,おなじ
4,お兄さん,おにいさん
4,お姉さん,おねえさん
4,伯母,おば
4,叔母,おば
4,,おばあさん
4,お弁当,おべんとう
4,覚える,おぼえる
4,重い,おもい
4,,おもしろい
4,泳ぐ,およぐ
4,降りる,おりる
4,終る,おわる
4,音楽,おんがく
4,女,おんな
4,女の子,おんなのこ
4,外国,がいこく
4,外国人,がいこくじん
4,会社,かいしゃ
4,階段,かいだん
4,買い物,かいもの
4,買う,かう
4,返す,かえす
4,帰る,かえる
4,顔,かお
4,,かかる
4,,かぎ
4,書く,かく
4,学生,がくせい
4,,かける
4,,かける
4,傘,かさ
4,貸す,かす
4,風,かぜ
4,家族,かぞく
4,,かた
4,片仮名,かたかな
4,学校,がっこう
4,角,かど
4,家内,かない
4,,かばん
4,花瓶,かびん
4,,かぶる
4,紙,かみ
4,,カメラ
4,火曜日,かようび
4,辛い,からい
4,体,からだ
4,借りる,かりる
4,軽い,かるい
4,,カレンダー
4,川,かわ
4,河,かわ
4,,かわいい
4,漢字,かんじ
4,木,き
4,黄色い,きいろい
4,消える,きえる
4,聞く,きく
4,北,きた
4,,ギター
4,汚い,きたない
4,喫茶店,きっさてん
4,切手,きって
4,切符,きっぷ
4,昨日,きのう
4,九,きゅう
4,牛肉,ぎゅうにく
4,今日,きょう
4,教室,きょうしつ
4,兄弟,きょうだい
4,去年,きょねん
4,嫌い,きらい
4,切る,きる
4,着る,きる
4,,きれい
4,,キロ
4,銀行,ぎんこう
4,金曜日,きんようび
4,工,く
4,薬,くすり
4,,ください
4,果物,くだもの
4,口,くち
4,靴,くつ
4,靴下,くつした
4,国,くに
4,曇る,くもる
4,暗い,くらい
4,,クラス
4,,グラム
4,来る,くる
4,車,くるま
4,黒い,くろい
4,今朝,けさ
4,消す,けす
4,結構,けっこう
4,結婚,けっこん
4,月曜日,げつようび
4,玄関,げんかん
4,元気,げんき
4,五,ご
4,公園,こうえん
4,交番,こうばん
4,声,こえ
4,,コート
4,,ここ
4,午後,ごご
4,九日,ここのか
4,九つ,ここのつ
4,御主人,ごしゅじん
4,午前,ごぜん
4,答える,こたえる
4,,こちら
4,,コップ
4,今年,ことし
4,言葉,ことば
4,子供,こども
4,,この
4,御飯,ごはん
4,困る,こまる
4,,これ
4,今月,こんげつ
4,今週,こんしゅう
4,,こんな
4,今晩,こんばん
4,,さあ
4,魚,さかな
4,先,さき
4,咲く,さく
4,作文,さくぶん
4,,さす
4,雑誌,ざっし
4,砂糖,さとう
4,寒い,さむい
4,再来年,さらいねん
4,三,さん
4,散歩,さんぽ
4,四,し
4,塩,しお
4,,しかし
4,時間,じかん
4,仕事,しごと
4,辞書,じしょ
4,静か,しずか
4,下,した
4,七,しち
4,質問,しつもん
4,自転車,じてんしゃ
4,自動車,じどうしゃ
4,死ぬ,しぬ
4,字引,じびき
4,自分,じぶん
4,閉まる,しまる
4,閉める,しめる
4,締める,しめる
4,,じゃ
4,,じゃあ
4,写真,しゃしん
4,,シャツ
4,十,じゅう
4,授業,じゅぎょう
4,宿題,しゅくだい
4,上手,じょうず
4,丈夫,じょうぶ
4,,しょうゆ
4,食堂,しょくどう
4,知る,しる
4,白い,しろい
4,新聞,しんぶん
4,水曜日,すいようび
4,吸う,すう
4,,スカート
4,好き,すき
4,,すぐに
4,少し,すこし
4,涼しい,すずしい
4,,ストーブ
4,,スプーン
4,,スポーツ
4,,ズボン
4,住む,すむ
4,,スリッパ
4,,する
4,座る,すわる
4,背,せい
4,生徒,せいと
4,,セーター
4,,せっけん
4,背広,せびろ
4,狭い,せまい
4,,ゼロ
4,千,せん
4,先月,せんげつ
4,先週,せんしゅう
4,先生,せんせい
4,洗濯,せんたく
4,全部,ぜんぶ
4,,そう
4,掃除,そうじ
4,,そうして
4,,そして
4,,そこ
4,,そちら
4,外,そと
4,,その
4,,そば
4,空,そら
4,,それ
4,,それから
4,,それでは
4,大学,だいがく
4,大使館,たいしかん
4,大丈夫,だいじょうぶ
4,大好き,だいすき
4,大切,たいせつ
4,,たいてい
4,台所,だいどころ
4,,たいへん
4,,たいへん
4,高い,たかい
4,,たくさん
4,,タクシー
4,出す,だす
4,立つ,たつ
4,建物,たてもの
4,楽しい,たのしい
4,頼む,たのむ
4,,たばこ
4,,たぶん
4,食べ物,たべもの
4,食べる,たべる
4,卵,たまご
4,,だれ
4,誕生日,たんじょうび
4,,だんだん
4,小さい,ちいさい
4,近い,ちかい
4,違う,ちがう
4,近く,ちかく
4,地下鉄,ちかてつ
4,地図,ちず
4,父,ちち
4,茶色,ちゃいろ
4,,ちゃわん
4,,ちょうど
4,,ちょっと
4,使う,つかう
4,疲れる,つかれる
4,次,つぎ
4,着く,つく
4,机,つくえ
4,作る,つくる
4,,つける
4,勤める,つとめる
4,,つまらない
4,冷たい,つめたい
4,強い,つよい
4,手,て
4,,テープ
4,,テープレコーダー
4,,テーブル
4,出かける,でかける
4,手紙,てがみ
4,,できる
4,出口,でぐち
4,,テスト
4,,では
4,,デパート
4,,でも
4,出る,でる
4,,テレビ
4,天気,てんき
4,電気,でんき
4,電車,でんしゃ
4,電話,でんわ
4,戸,と
4,,ドア
4,,トイレ
4,,どう
4,,どうして
4,,どうぞ
4,動物,どうぶつ
4,,どうも
4,遠い,とおい
4,十日,とおか
4,時々,ときどき
4,時計,とけい
4,,どこ
4,所,ところ
4,図書館,としょかん
4,,どちら
4,,とても
4,,どなた
4,隣,となり
4,,どの
4,飛ぶ,とぶ
4,止まる,とまる
4,友達,ともだち
4,土曜日,どようび
4,鳥,とり
4,鳥肉,とりにく
4,取る,とる
4,撮る,とる
4,,どれ
4,,どんな
4,,ない
4,,ナイフ
4,中,なか
4,長い,ながい
4,鳴く,なく
4,夏,なつ
4,夏休み,なつやすみ
4,七つ,ななつ
4,何,なに
4,七日,なのか
4,名前,なまえ
4,習う,ならう
4,並ぶ,ならぶ
4,並べる,ならべる
4,,なる
4,二,に
4,,にぎやか
4,肉,にく
4,西,にし
4,日曜日,にちようび
4,荷物,にもつ
4,,ニュース
4,庭,にわ
4,脱ぐ,ぬぐ
4,,ネクタイ
4,寝る,ねる
4,,ノート
4,登る,のぼる
4,飲み物,のみもの
4,飲む,のむ
4,乗る,のる
4,歯,は
4,,パーティー
4,,はい
4,灰皿,はいざら
4,入る,はいる
4,葉書,はがき
4,,はく
4,箱,はこ
4,橋,はし
4,,はし
4,始まる,はじまる
4,初めに,はじめに
4,初めて,はじめて
4,走る,はしる
4,,バス
4,,バター
4,二十歳,はたち
4,働く,はたらく
4,八,はち
4,二十日,はつか
4,花,はな
4,鼻,はな
4,話,はなし
4,話す,はなす
4,母,はは
4,早い,はやい
4,速い,はやい
4,春,はる
4,,はる
4,晴れる,はれる
4,半,はん
4,晩,ばん
4,,パン
4,,ハンカチ
4,番号,ばんごう
4,晩御飯,ばんごはん
4,半分,はんぶん
4,東,ひがし
4,引く,ひく
4,弾く,ひく
4,低い,ひくい
4,飛行機,ひこうき
4,左,ひだり
4,人,ひと
4,一つ,ひとつ
4,一月,ひとつき
4,一人,ひとり
4,暇,ひま
4,百,ひゃく
4,病院,びょういん
4,病気,びょうき
4,平仮名,ひらがな
4,昼,ひる
4,昼御飯,ひるごはん
4,広い,ひろい
4,,フィルム
4,封筒,ふうとう
4,,プール
